,track_name,artist,duration_ms,album,release_date,popularity,associated_kpop_group,spotify_track_id,artist_id,artist_followers,artist_popularity,artist_genres,company,user_playlist_count,which_user_playlists,track_treatment
0,My Universe,Coldplay,226198,Music Of The Spheres,2021-10-15,80,BTS,46HNZY1i7O6jwTA7Slo2PI,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
1,FAKE LOVE,BTS,242333,Love Yourself 轉 'Tear',2018-05-18,82,BTS,6m1TWFMeon7ai9XLOzdbiR,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
2,Dynamite,BTS,199053,BE,2020-11-20,83,BTS,5QDLhrAOJJdNAmCTJ8xMyW,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
3,Boy With Luv (feat. Halsey),BTS,229773,MAP OF THE SOUL : PERSONA,2019-04-12,80,BTS,4a9tbd947vo9K8Vti9JwcI,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,1,5YZ5U9DAUd71CIwj55A49D,1
4,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,154486,CHARLIE,2022-10-06,77,BTS,0mBP9X2gPCuapvpZ7TGDk3,6HaGTQPmzraVmaVxvz6EUc,18008513,84,k-pop,Big Hit Music,0,,0
5,Butter,BTS,164952,Proof,2022-06-10,78,BTS,6jjYDGxVJsWS0a5wlVF5vS,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
6,Life Goes On,BTS,207481,BE,2020-11-20,79,BTS,5FVbvttjEvQ8r2BgUcJgNg,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
7,DNA,BTS,223122,Love Yourself 承 'Her',2017-09-18,77,BTS,3uRLwBjI2TahxslcMTvpFs,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
8,Run BTS,BTS,204939,Proof,2022-06-10,79,BTS,69xohKu8C1fsflYAiSNbwM,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
9,Spring Day,BTS,274097,You Never Walk Alone,2017-02-13,78,BTS,2j1fFjWHCI9KJSwcuYAOyF,3Nrfpe0tUJi4K4DXYWgMUX,79944997,90,k-pop,Big Hit Music,0,,0
10,JUMP,BLACKPINK,164718,JUMP,2025-07-11,95,BLACKPINK,5H1sKFMzDeMtXwND3V6hRY,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,1,2EoheVFjqIxgJMb8VnDRtZ,1
11,Pink Venom,BLACKPINK,186964,BORN PINK,2022-09-15,78,BLACKPINK,5zwwW9Oq7ubSxoCGyW1nbY,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,2,"5EPJPyctDDc1omacvILCsu,6fQ3H7MipHCbzVazbPyHhQ",1
12,Shut Down,BLACKPINK,175889,BORN PINK,2022-09-15,76,BLACKPINK,7gRFDGEzF9UkBV233yv2dc,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,1,6fQ3H7MipHCbzVazbPyHhQ,1
13,Kill This Love,BLACKPINK,191050,KILL THIS LOVE,2019-04-05,79,BLACKPINK,6hvczQ05jc1yGlp9zhb95V,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,1,6fQ3H7MipHCbzVazbPyHhQ,1
14,How You Like That,BLACKPINK,182956,THE ALBUM,2020-10-02,79,BLACKPINK,4SFknyjLcyTLJFPKD2m96o,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,3,"5EPJPyctDDc1omacvILCsu,6fQ3H7MipHCbzVazbPyHhQ,0QQ54WssFuO3tiOBLU1xRw",1
15,As If It's Your Last,BLACKPINK,213264,As If It's Your Last,2017-06-22,80,BLACKPINK,4ZxOuNHhpyOj4gv52MtQpT,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,0,,0
16,DDU-DU DDU-DU,BLACKPINK,211350,SQUARE UP,2018-06-15,77,BLACKPINK,4lQsB3ERTWSNaAN1IkuNRl,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,3,"5EPJPyctDDc1omacvILCsu,6fQ3H7MipHCbzVazbPyHhQ,0QQ54WssFuO3tiOBLU1xRw",1
17,BOOMBAYAH,BLACKPINK,240793,SQUARE ONE,2016-08-08,79,BLACKPINK,13MF2TYuyfITClL1R2ei6e,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,3,"5EPJPyctDDc1omacvILCsu,6fQ3H7MipHCbzVazbPyHhQ,4DO9jHccZGtGKAMmFNsIir",1
18,Lovesick Girls,BLACKPINK,194765,THE ALBUM,2020-10-02,75,BLACKPINK,4Ws314Ylb27BVsvlZOy30C,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,0,,0
19,Pretty Savage,BLACKPINK,201122,THE ALBUM,2020-10-02,76,BLACKPINK,1XnpzbOGptRwfJhZgLbmSr,41MozSoPIsD1dJM0CLPjZF,54589774,86,k-pop,YG Entertainment,1,6fQ3H7MipHCbzVazbPyHhQ,1
